case_id,merchant_id,customer_id,domain,amount,decline_reason,attempts_used,account_age_days,previous_failures,previous_recoveries,prior_recovery_rate,day_of_week,hour,issuer,bin_bucket,fatigue_score,treatment,recovered,time_to_recovery_hours
case_033704ff02c8,merch_news_wire,cust_478673,subscription,1204.83,bank_downtime,4,168,1,0,0.0,5,23,ICICI,classic,0.7521,whatsapp_nudge,0,
case_0113597a60c6,merch_fit_box,cust_682053,subscription,384.29,insufficient_funds,2,308,1,0,0.0,4,22,ICICI,platinum,0.4692,incentive_link,0,
case_050818bab056,merch_stay_luxe,cust_233333,travel,1670.0,technical_gateway_error,2,294,1,1,0.5,1,12,CITI,upi_standard,0.3729,whatsapp_nudge,0,
case_01efb25669ef,merch_play_arena,cust_136635,gaming,560.37,user_cancelled_checkout,1,202,1,0,0.0,3,1,HDFC,platinum,0.363,email,0,
case_00c0c4ba5293,merch_skill_core,cust_193466,education,4198.11,insufficient_funds,3,13,1,0,0.0,0,7,AXIS,classic,0.6067,whatsapp_nudge,0,
case_043bd9af4ab9,merch_blitz_retail,cust_377862,ecommerce,2806.0,card_limit_exceeded,1,530,1,0,0.0,3,18,ICICI,classic,0.2804,whatsapp_nudge,0,
case_046785fd1921,merch_data_weave,cust_178543,b2b_saas,4546.05,technical_gateway_error,1,558,1,0,0.0,2,0,ICICI,classic,0.4017,retry_only,1,0.07
case_01a65fa597c6,merch_urban_mart,cust_427382,ecommerce,6175.83,upi_pin_timeout,1,311,3,1,0.25,6,3,ICICI,upi_standard,0.2786,voice_call,0,
case_05e4b3de57d9,merch_skill_core,cust_544754,education,2316.0,technical_gateway_error,1,494,1,0,0.0,6,15,ICICI,platinum,0.3387,email,0,
case_011e42ab7980,merch_dev_stack,cust_454438,b2b_saas,12482.11,insufficient_funds,1,373,1,0,0.0,6,7,HDFC,classic,0.352,no_action,0,
case_00a799475365,merch_voyage_air,cust_316764,travel,6758.19,authentication_failed,1,233,2,3,0.6,6,9,KOTAK,classic,0.2561,whatsapp_nudge,0,
case_00e44da871bc,merch_urban_mart,cust_826380,ecommerce,2842.05,user_cancelled_checkout,2,235,2,1,0.3333,0,2,HDFC,signature,0.5468,email,0,
case_01b5dcd52a14,merch_feast_now,cust_134541,food_delivery,238.73,insufficient_funds,2,83,1,0,0.0,1,1,AXIS,corporate,0.4582,incentive_link,1,2.18
case_058bb467479c,merch_voyage_air,cust_526859,travel,4616.92,upi_pin_timeout,2,82,2,0,0.0,3,0,KOTAK,platinum,0.4967,incentive_link,0,
