treatment,decile,n,n_treated,n_control,recovery_rate_treated,recovery_rate_control,incremental_recovery_rate
email,1,202,131,71,0.4351,0.1127,0.3224
email,2,201,124,77,0.371,0.0779,0.293
email,3,201,106,95,0.2925,0.1263,0.1661
email,4,201,110,91,0.2636,0.0879,0.1757
email,5,201,100,101,0.24,0.0495,0.1905
email,6,202,85,117,0.1529,0.0855,0.0675
email,7,201,90,111,0.0444,0.0811,-0.0366
email,8,199,99,100,0.1414,0.04,0.1014
email,9,203,92,111,0.0543,0.1351,-0.0808
email,10,202,83,119,0.1446,0.2017,-0.0571
incentive_link,1,191,84,107,0.6429,0.0467,0.5961
incentive_link,2,190,91,99,0.4396,0.0808,0.3588
incentive_link,3,191,100,91,0.43,0.0879,0.3421
incentive_link,4,190,90,100,0.6111,0.09,0.5211
incentive_link,5,190,107,83,0.3832,0.0482,0.335
incentive_link,6,191,97,94,0.2062,0.0426,0.1636
incentive_link,7,190,89,101,0.2809,0.1287,0.1522
incentive_link,8,191,89,102,0.191,0.1078,0.0832
incentive_link,9,190,87,103,0.2299,0.1456,0.0843
incentive_link,10,191,78,113,0.2692,0.2124,0.0568
retry_only,1,221,161,60,0.6149,0.0667,0.5482
retry_only,2,220,160,60,0.7063,0.0667,0.6396
retry_only,3,221,151,70,0.6291,0.0714,0.5577
retry_only,4,220,132,88,0.3636,0.125,0.2386
retry_only,5,221,103,118,0.1748,0.1102,0.0646
retry_only,6,219,99,120,0.2121,0.075,0.1371
retry_only,7,221,110,111,0.1091,0.1171,-0.008
retry_only,8,220,86,134,0.0814,0.097,-0.0156
retry_only,9,222,98,124,0.0306,0.0726,-0.042
retry_only,10,221,113,108,0.1593,0.1852,-0.0259
voice_call,1,228,172,56,0.5291,0.0893,0.4398
voice_call,2,229,146,83,0.3288,0.1084,0.2203
voice_call,3,228,117,111,0.188,0.0631,0.125
voice_call,4,227,104,123,0.1058,0.0569,0.0489
voice_call,5,228,142,86,0.0211,0.0581,-0.037
voice_call,6,228,139,89,0.0144,0.0337,-0.0193
voice_call,7,227,117,110,0.0256,0.0727,-0.0471
voice_call,8,230,106,124,0.0,0.0968,-0.0968
voice_call,9,228,116,112,0.069,0.125,-0.056
voice_call,10,229,130,99,0.1231,0.3131,-0.1901
whatsapp_nudge,1,307,225,82,0.5911,0.1098,0.4814
whatsapp_nudge,2,306,223,83,0.4753,0.1325,0.3428
whatsapp_nudge,3,306,230,76,0.3304,0.1842,0.1462
whatsapp_nudge,4,307,200,107,0.215,0.1121,0.1029
whatsapp_nudge,5,306,210,96,0.2714,0.0938,0.1777
whatsapp_nudge,6,307,205,102,0.1854,0.049,0.1363
whatsapp_nudge,7,305,199,106,0.1558,0.0943,0.0614
whatsapp_nudge,8,307,193,114,0.1451,0.0614,0.0837
whatsapp_nudge,9,308,199,109,0.0905,0.055,0.0354
whatsapp_nudge,10,307,189,118,0.2646,0.1525,0.112
